"Title","Address","Decision","Decision Date"
"3240 Deli & Grocery","3240 Richmond Terrace, Staten Island, NY 10303-1316","Denial","10/04/2016"
"Addison Road Shell","6308 Central Ave., Capitol Heights, MD 20743-2163","Denial","10/04/2016"
"Lin’s Deli & Grocery Inc.","7619 New Utrecht Ave., Brooklyn, NY 11214-1021","Term Disqualification","10/05/2016"
"Whittier Ranch Market","10722 E. Beverly Blvd. ,     Suite J, Whittier, CA 90601","Term Disqualification","10/05/2016"
"Xing Grocery Inc.","4617 Eighth Ave., Brooklyn, NY 11220","Term Disqualification","10/03/2016"
"American Discount & Surplus","211 W. Main St., Lead, SD 57754","Denial","10/03/2016"
"AV Mini Mart","18838 US Highway 18,     Suite 14, Apple Valley, CA 92307-2332","Denial","10/03/2016"
"Commerce Road Shell","1790 Commerce Road, Athens, GA 30607-1018","Term Disqualification","10/07/2016"
"Corner Food Market","3241 S. Third St., Memphis, TN 38109-2943","Permanent Disqualification","10/05/2016"
"East Church Food Mart","1120 E. Church St., Monroe, GA 30655-2426","Term Disqualification","10/11/2016"
"Bab El Salam Restaurant LLC","129 W. Centre Ave., Portage, MI 49024-5335","Denial","10/26/2016"
"LK Mini Market","6025 Pacific Ave., Stockton, CA 95207","Denial","10/26/2016"
"Euclid Market","4268 Euclid Ave., San Diego, CA 92115-4977","Denial","10/12/2016"
"Bali’s Food Mart","12259 Veterans Memorial Drive, Houston, TX 77067-1091","Denial","10/25/2016"
"Al's Deli","10604 Superior Ave., Cleveland, OH 44106","Denial","10/14/2016"
"Quick & Easy Market & Deli","107 Main St. N, Carthage, TN 37030-1562","Denial","10/11/2016"
"Paul's Fish Market","404 W. Highway 76, Nichols, SC 29581","Denial","10/25/2016"
"Paps Deli & Meat Market LLC","2627 W. Burleigh St., Milwaukee, WI 53206-1208","Denial","10/21/2016"
"Amen Market","16053 Aurora Ave. N,     Suite D, Shoreline, WA 98133","Denial","10/12/2016"
"Main Street Seafood & Deli","912 Main St., Columbia, MS 39429","Denial","10/27/2016"
"My Family Pharmacy","9608 Northern Blvd., Corona, NY 11368","Denial","10/07/2016"
"Academy Deli Grocery","150 Academy St., Jersey City, NJ 07302-3110","Denial","10/26/2016"
"BP Grill","6550 Knott Ave., Buena Park, CA 90621-2612","Denial","10/31/2016"
"Cakes By Crystal","139 E. McDowell Road, Jackson, MS 39204-5719","Denial","10/11/2016"
"Hania Enterprise LLC","8247 W. Brown Deer Road, Milwaukee, WI 53223","Denial","10/11/2016"
"Doo's Seafood & Deli","4120 Lawrenceville Highway NW, Lilburn, GA 30047","Denial","10/18/2016"
"Simlye's","1350 Copley Road, Akron, OH 44320","Withdrawal","10/25/2016"
"Security Sunoco LLC","1900 N. Rolling Road, Windsor Mill, MD 21244","Withdrawal","10/28/2016"
"Amen Market","16053 Aurora Ave. N,     Suite D, Shoreline, WA 98133-2610","Withdrawal","10/12/2016"
"Dream Cake","4239 Holland Road,     Suite 716, Virginia Beach, VA 23452","Denial","10/27/2016"
"Topher's Sandwich Shop","247 N. 10th St., Reading, PA 19604","Denial","10/14/2016"
"Quick Pick Drive Thru","1652 N. Chevrolet Ave., Flint, MI 48504","Denial","10/27/2016"
"Sim’s Seafood","391  Hull Street Road, Richmond, VA 23224","Withdrawal","10/18/2016"
"Best Buy","2952 Renwick St., Monroe, LA 71201","Withdrawal","10/03/2016"
"Angel Clothes & Grocery","2480 Elmwood Ave., Buffalo, NY 14217","Denial","11/16/2016"
"Far East University Market","1242 University Ave.,     Suite 4, Riverside, CA 92507","Denial","11/09/2016"
"Shopper Stop","615 N. Palestine St., Athens, TX 75751","Denial","11/09/2016"
"Heart & Soul Cafe","458 S Dr. Martin Luther King Jr. Blvd., Daytona Beach, FL 32114","Denial","11/28/2016"
"Good Short Stop Inc.","720 N. Goodman St., Rochester, NY 14609","Denial","11/23/2016"
"Jeffer Food Mart Inc.","5249 W. Chicago Ave., Chicago, IL 60651-2908","Withdrawal","10/26/2016"
